City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,78,75,3.58,RU,1714969942
82,talnakh,69.4865,88.3972,-5.44,65,100,1.02,RU,1714970127
83,ilulissat,69.2167,-51.1,-6.99,79,100,5.14,GL,1714970127
84,vilhena,-12.7406,-60.1458,22.22,79,10,1.62,BR,1714970127
85,levanger,63.7464,11.2996,8.03,66,62,4.02,NO,1714970127
86,kerikeri,-35.2268,173.9474,17.73,85,60,0.45,NZ,1714970128
87,luza,60.6308,47.2512,0.88,74,100,5.14,RU,1714970128
88,westport,41.1415,-73.3579,12.53,92,100,2.06,US,1714970128
89,hammerfest,70.6634,23.6821,-0.75,74,75,3.09,NO,1714970128
90,nahiyat ash shinafiyah,31.5874,44.6602,27.46,36,9,9.95,IQ,1714970128
91,port douglas,-16.4833,145.4667,26.28,71,97,5.12,AU,1714970128
92,margaret river,-33.95,115.0667,21.06,50,31,3.63,AU,1714970128
93,tabas,33.5959,56.9244,28.34,19,1,1.22,IR,1714970129
94,invercargill,-46.4,168.35,8.9,66,61,2.68,NZ,1714970129
95,hamilton,39.1834,-84.5333,19.43,88,0,0.0,US,1714969993
96,anadyr,64.75,177.4833,-1.72,64,0,3.0,RU,1714970129
97,port elizabeth,-33.918,25.5701,16.16,59,0,3.6,ZA,1714970129
98,taulaga,-11.0553,-171.0883,29.72,75,78,2.97,AS,1714970129
99,weno,7.4515,151.8468,31.97,70,40,3.6,FM,1714970130
100,bilibino,68.0546,166.4372,0.43,79,12,0.98,RU,1714969942
101,inhambane,-23.865,35.3833,15.99,100,40,0.0,MZ,1714970130
102,kenai,60.5544,-151.2583,8.41,84,100,6.17,US,1714970130
103,al burayqah,30.4062,19.5739,17.65,72,0,3.44,LY,1714970130
104,zaozersk,69.4005,32.4476,-1.93,93,100,3.15,RU,1714970130
105,kununurra,-15.7667,128.7333,31.99,33,43,5.66,AU,1714970130
106,pakokku,21.3333,95.1,34.47,32,12,3.63,MM,1714970131
107,wailua homesteads,22.0669,-159.378,26.24,82,20,7.2,US,1714970131
108,yellowknife,62.456,-114.3525,8.29,73,20,4.63,CA,1714970131
109,tsengel,49.4783,100.8894,21.58,21,48,2.8,MN,1714970131
110,necochea,-38.5473,-58.7368,14.21,48,100,3.89,AR,1714970131
111,puerto ayora,-0.7393,-90.3518,22.53,97,39,2.74,EC,1714969884
112,puerto natales,-51.7236,-72.4875,-2.16,87,61,1.52,CL,1714969883
113,monjaras,13.2006,-87.3742,28.64,74,31,1.06,HN,1714970132
114,tazacorte,28.629,-17.9293,18.54,77,40,5.14,ES,1714970132
115,puerto baquerizo moreno,-0.9,-89.6,22.89,89,37,3.27,EC,1714969931
116,gaalkacyo,6.7697,47.4308,28.71,67,52,4.43,SO,1714970132
117,sangkhla buri,15.1555,98.4536,38.94,25,0,1.96,TH,1714970132
118,palikir - national government center,6.9248,158.1611,29.47,84,100,3.09,FM,1714970133
